"","Attribute","Description"
"1","SITE_IDENTIFIER","Unique identifier assigned to each ground sample site"
"2","CLSTR_ID","Unique identifier assigned to each ground sample site visit. Concatenation of ""SITE_IDENTIFIER"" & ""-"" & ""SAMPLE_SITE_PURPOSE_TYPE_CODE"" & ""VISIT_NUMBER""."
"3","VISIT_NUMBER","This is a numeric sequence that corresponds to the visit or measurement number for a given site identifier - and always begins at 1 for the initial establishment visit."
"4","MEAS_YR","The calendar year that represents the end of the growing season.  Approximated as the calendar year of the MEAS_DT unless the MEAS_DT is before June 1 - then it is the previous calendar year. "
"5","FIRST_MSMT","Y/N flag to identify the first measurement of a given sample site - i.e. SITE_IDENTIFIER"
"6","LAST_MSMT","Y/N flag to identify the last measurement of a given sample site - i.e. SITE_IDENTIFIER"
"7","TSA_DESC","Timber Supply Area (TSA) description as defined from a spatial overlay of the BCGW WHSE_ADMIN_BOUNDARIES.FADM_TSA layer.  The date the spatial overlay was completed is included in the internal FAIB compilation report or published readme.txt. "
"8","SAMPLE_ESTABLISHMENT_TYPE","Sample type at the time of establishment: CMI=change monitoring inventory sample on 20km*20km NFI grid: NFI=national forest inventory ground sample on 20km*20km NFI grid: VRI=phase2 temporary 5-point sample cluster designed based sample using PPSWR selection: YSM=young stand monitoring on a standardized intensified NFI grid (generally 5km*10km)in young stand population defined by the VegCompR1 inventory 15-50yr old stand: YNS=young stand monitoring on non-standard project design: SUP=supplemental ground sample on intensified NFI grid in mature population: FLT=fixed area light samples for LiDar calibration / verification: CNS=change monitoring inventory sample on non-standard project design: PSP=subjectively located long-term permanent growth natural sample plots (PSP_R=established by Research Branch or PSP_G=established by Inventory Branch): EYSM=early young stand monitoring on a standardized intensified NFI grid (generally 5km*10km) in a population defined by a recently reported planting treatment: FHYSM=forest health yam on a standardized intensified NFI grid (generally 5km*10km) in a Central Interior population defined by the 2020 VegCompR1 inventory as leading Lodgepole pine in stands 5-10 years of age."
"9","PROJECT_DESIGN","Project design origin of sample data (GRID:samples located on a grid - most often on the NFI grid or an intensification of the NFI grid.  RANDOM:samples selected from a known population either using PPSWR or MPOSS.  NONE: samples subjectively or purposefully located."
"10","BEC_ZONE","Biogeoclimatic Ecosystem Classification (BEC) zone as defined from a spatial overlay of the BCGW WHSE_FOREST_VEGETATION.BEC_BIOGEOCLIMATIC_POLY layer.   The date the spatial overlay was completed is included in the internal FAIB compilation report or published readme.txt."
